article:ID;ee:string[];key:string;title:string
11518;http://doi.ieeecomputersociety.org/10.1109/69.50910|https://doi.org/10.1109/69.50910;journals/tkde/HaasCLMWLLPCS90;Starburst Mid-Flight: As the Dust Clears.
11519;http://doi.ieeecomputersociety.org/10.1109/69.390250|https://doi.org/10.1109/69.390250;journals/tkde/Sacks-DavisKRTZ95;Atlas: A Nested Relational Database System for Text Applications.
11521;http://doi.ieeecomputersociety.org/10.1109/69.54722|https://doi.org/10.1109/69.54722;journals/tkde/Motro90;FLEX: A Tolerant and Cooperative User Interface to Databases.
11529;http://doi.ieeecomputersociety.org/10.1109/69.476504|https://doi.org/10.1109/69.476504;journals/tkde/RamamrithamP95;A Formal Characterization of Epsilon Serializability.
11530;http://doi.ieeecomputersociety.org/10.1109/69.599936|https://doi.org/10.1109/69.599936;journals/tkde/Bertino97;On Modeling Cost Functions for Object-Oriented Databases.
11532;http://doi.ieeecomputersociety.org/10.1109/69.250085|https://doi.org/10.1109/69.250085;journals/tkde/HolderC93;Discovery of Inexact Concepts from Structural Data.
11533;http://doi.ieeecomputersociety.org/10.1109/69.243510|https://doi.org/10.1109/69.243510;journals/tkde/DarA93;Extending SQL with Generalized Transitive Closure Functionality.
11537;http://doi.ieeecomputersociety.org/10.1109/69.738359|https://doi.org/10.1109/69.738359;journals/tkde/JiangE98;WVTDB - A Semantic Content-Based Video Database System on the World Wide Web.
11538;http://doi.ieeecomputersociety.org/10.1109/69.75883|https://doi.org/10.1109/69.75883;journals/tkde/Ishida91;Parallel Rule Firing in Production Systems.
11541;http://doi.ieeecomputersociety.org/10.1109/69.317711|https://doi.org/10.1109/69.317711;journals/tkde/GoldsteinS94;Materialization.
